datetime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
2016-12-21 00:00:00,400.0,400.0,6.0,155.0,9700.0,2.0,-0.7,1025.8,-2.0,0.0,1.7
2016-12-21 01:00:00,386.0,386.0,6.0,151.0,9400.0,2.0,-1.0,1025.1,-2.3,0.0,1.0
2016-12-21 02:00:00,369.0,369.0,6.0,142.0,8500.0,2.0,-1.0,1024.9,-2.3,0.0,1.4
2016-12-21 03:00:00,337.0,337.0,5.0,133.0,8000.0,2.0,-1.1,1024.5,-2.2,0.0,1.2
2016-12-21 04:00:00,332.0,332.0,5.0,128.0,8100.0,2.0,-1.2,1023.7,-2.5,0.0,1.3
2016-12-21 05:00:00,353.0,353.0,6.0,127.0,8300.0,3.0,-1.2,1023.3,-2.6,0.0,1.7
2016-12-21 06:00:00,343.0,343.0,7.0,127.0,8100.0,2.0,-1.4,1023.2,-3.0,0.0,1.3
2016-12-21 07:00:00,351.0,351.0,7.0,123.0,8200.0,2.0,-1.1,1023.4,-2.7,0.0,1.0
2016-12-21 08:00:00,355.0,355.0,8.0,128.0,8100.0,2.0,-1.0,1023.4,-2.9,0.0,0.2
2016-12-21 09:00:00,364.0,364.0,8.0,130.0,8100.0,3.0,-0.7,1023.8,-2.8,0.0,0.7
2016-12-21 10:00:00,365.0,365.0,9.0,141.0,8000.0,3.0,0.6,1023.6,-2.3,0.0,1.1
2016-12-21 11:00:00,359.0,359.0,10.0,146.0,7500.0,4.0,1.6,1023.0,-2.2,0.0,1.1
2016-12-21 12:00:00,343.0,343.0,12.0,136.0,6500.0,9.0,2.5,1021.5,-2.2,0.0,0.5
2016-12-21 13:00:00,368.0,368.0,14.0,145.0,6500.0,12.0,3.3,1020.3,-2.5,0.0,1.4
2016-12-21 14:00:00,348.0,348.0,17.0,140.0,5700.0,19.0,3.9,1019.4,-2.7,0.0,1.6
2016-12-21 15:00:00,318.0,318.0,16.0,134.0,5000.0,19.0,3.9,1019.5,-2.7,0.0,0.5
2016-12-21 16:00:00,359.0,359.0,12.0,163.0,5900.0,12.0,3.8,1019.7,-2.6,0.0,0.9
2016-12-21 17:00:00,375.0,375.0,10.0,176.0,6100.0,4.0,2.8,1019.9,-2.3,0.0,1.0
2016-12-21 18:00:00,387.0,387.0,9.0,187.0,6800.0,2.0,2.9,1020.5,-2.0,0.0,1.2
2016-12-21 19:00:00,405.0,405.0,8.0,199.0,7500.0,3.0,2.5,1020.5,-1.9,0.0,1.3
2016-12-21 20:00:00,426.0,426.0,8.0,206.0,7700.0,2.0,1.9,1020.4,-2.1,0.0,0.8
2016-12-21 21:00:00,427.0,427.0,11.0,203.0,7600.0,3.0,1.0,1020.2,-2.2,0.0,1.2
2016-12-21 22:00:00,433.0,433.0,12.0,201.0,7700.0,3.0,1.2,1020.1,-1.7,0.0,0.2
2016-12-21 23:00:00,399.0,399.0,15.0,182.0,6700.0,2.0,1.5,1019.7,-1.4,0.0,0.8
